dayoftheyear,open,high,low,close,WLLDE
129,2049.73,2074.28,2049.73,2051.31,2059.32
130,2052.74,2081.31,2052.74,2076.62,2076.21
131,2080.03,2100.67,2080.03,2099.60,2094.77
132,2099.72,2111.98,2098.18,2108.95,2105.64
133,2109.01,2114.14,2102.49,2107.40,2112.22
134,2110.55,2124.42,2110.55,2124.29,2120.34
135,2126.80,2128.91,2119.88,2126.64,2125.42
136,2126.85,2132.82,2123.66,2128.28,2124.96
137,2127.55,2128.49,2115.40,2119.21,2119.75
138,2118.21,2118.51,2110.00,2114.15,2111.67
139,2114.16,2116.87,2098.63,2102.15,2099.01
140,2102.24,2106.01,2077.09,2079.65,2084.08
141,2078.19,2078.19,2063.52,2067.64,2079.62
142,2070.75,2095.60,2069.09,2093.25,2090.89
143,2094.70,2110.60,2094.08,2108.57,2103.14
144,2106.78,2110.48,2094.97,2108.63,2106.40
145,2111.60,2114.24,2102.07,2103.84,2103.35
146,2104.49,2105.70,2087.31,2098.04,2098.76
147,2097.68,2102.51,2088.60,2093.32,2096.04
148,2095.27,2112.66,2095.27,2099.84,2093.50
149,2100.75,2103.32,2075.53,2083.56,2087.19
150,2082.61,2082.61,2067.91,2077.57,2086.49
151,2080.98,2105.35,2080.98,2104.18,2091.51
152,2102.66,2102.66,2076.49,2084.07,2089.10
153,2081.10,2089.06,2052.09,2086.05,2085.84
154,2086.19,2092.93,2078.26,2083.39,2086.77
155,2083.15,2092.45,2080.61,2091.54,2092.16
156,2089.70,2102.87,2079.30,2102.44,2096.80
157,2101.99,2103.47,2094.14,2096.92,2091.36
158,2095.69,2096.17,2070.53,2079.61,2069.73
159,2076.61,2076.61,2035.73,2035.73,2027.49
160,2034.08,2034.08,1970.89,1970.89,1968.19
161,1965.15,1965.15,1867.01,1893.21,1913.27
162,1898.08,1948.04,1867.08,1867.61,1900.05
163,1872.75,1943.09,1872.75,1940.51,1934.50
164,1942.77,1989.60,1942.77,1987.66,1971.30
165,1986.06,1993.48,1975.19,1988.87,1979.68
166,1986.73,1986.73,1965.98,1972.18,1961.84
167,1970.09,1970.09,1903.07,1913.85,1940.52
168,1916.52,1948.91,1916.52,1948.86,1940.97
169,1950.79,1975.01,1944.72,1951.13,1942.74
170,1947.76,1947.76,1911.21,1921.22,1941.76
171,1927.30,1970.42,1927.30,1969.41,1949.96
172,1971.45,1988.63,1937.88,1942.04,1951.00
173,1941.59,1965.29,1937.19,1952.29,1952.60
174,1951.45,1961.05,1939.19,1961.05,1957.04
175,1963.06,1963.06,1948.27,1953.03,1962.54
176,1955.10,1983.19,1954.30,1978.09,1975.95
177,1978.02,1997.26,1977.93,1995.31,1986.88
178,1995.33,2020.86,1986.73,1990.20,1982.26
179,1989.66,1989.66,1953.45,1958.03,1968.69
180,1960.84,1979.64,1955.80,1966.97,1958.84
181,1961.39,1961.39,1929.22,1942.74,1947.82
182,1943.24,1949.52,1932.57,1938.76,1938.87
