dayoftheyear,open,high,low,close,WLLDE
1536,364.77,365.96,364.35,365.37,365.31
1537,367.12,367.27,362.79,365.21,365.49
1538,366.29,366.71,363.35,365.80,366.13
1539,364.99,367.85,364.92,367.60,366.99
1540,368.84,369.04,366.56,367.29,367.26
1541,365.52,367.62,364.50,367.37,366.89
1542,364.75,366.56,363.02,365.81,365.95
1543,367.07,367.36,364.71,365.16,364.64
1544,362.38,364.78,362.08,362.35,363.43
1545,360.13,364.15,355.96,362.79,363.54
1546,361.70,367.22,360.70,366.79,363.15
1547,365.51,366.89,356.50,357.95,360.07
1548,359.84,360.99,354.11,356.11,359.24
1549,361.00,365.99,356.30,364.74,361.43
1550,364.96,365.20,361.39,361.89,360.85
1551,361.19,362.16,357.00,357.10,357.55
1552,356.91,359.51,348.17,352.68,355.85
1553,356.20,360.23,348.88,359.17,357.25
1554,360.13,362.96,357.10,357.38,359.15
1555,361.25,365.05,360.74,362.48,361.89
1556,364.84,366.44,363.42,364.74,364.97
1557,367.22,370.42,366.76,368.44,367.53
1558,367.07,369.07,366.25,368.93,369.24
1559,369.19,371.39,367.03,371.13,370.40
1560,371.75,372.46,369.89,370.67,370.85
1561,369.37,372.73,368.22,371.93,370.06
1562,369.33,371.42,365.83,366.52,367.90
1563,366.21,367.80,363.65,365.84,366.93
1564,366.36,370.15,366.30,368.76,367.11
1565,368.12,369.58,365.07,365.86,366.13
1566,367.27,368.91,363.95,364.00,365.43
1567,362.55,366.84,360.60,366.05,367.19
1568,367.20,372.35,366.60,371.94,370.14
1569,370.46,372.67,368.97,371.76,371.37
1570,370.48,371.45,369.16,370.77,371.63
1571,371.34,373.84,371.31,372.27,373.22
1572,374.22,376.35,374.01,376.29,376.61
1573,378.97,382.24,378.89,381.69,379.99
1574,381.13,382.52,380.79,381.47,381.51
1575,381.30,382.26,380.84,381.91,382.40
1576,383.17,383.78,382.23,383.72,383.99
1577,383.60,386.68,383.48,386.51,385.75
1578,385.91,386.93,385.30,386.65,386.78
1579,386.55,388.43,386.17,387.80,387.27
1580,387.77,388.83,385.93,386.48,388.00
1581,388.63,390.90,388.58,390.63,389.80
1582,391.92,392.54,390.50,391.93,390.77
1583,390.99,391.44,388.67,390.01,389.83
1584,388.79,389.89,385.67,387.15,388.91
1585,386.53,391.02,386.39,390.81,389.08
1586,390.65,391.48,386.18,387.25,389.30
1587,387.81,392.86,387.73,391.44,390.63
1588,392.10,392.83,391.51,392.26,391.85
1589,392.56,392.76,391.03,392.18,392.22
1590,392.45,393.58,391.60,392.06,392.69
1591,394.81,395.18,391.16,394.56,393.18
1592,392.28,393.13,391.07,391.97,392.73
1593,393.97,394.36,392.32,392.82,392.01
1594,390.81,391.31,386.68,390.39,391.20
1595,392.05,392.28,389.95,390.51,391.55
1596,390.59,393.76,388.57,393.63,393.40
1597,394.40,397.15,393.72,396.50,394.33
1598,396.86,397.08,392.45,392.57,392.25
1599,388.02,390.06,385.17,389.07,388.08
1600,386.27,387.55,379.48,380.80,384.75
1601,382.36,387.32,382.31,385.38,386.04
1602,388.13,392.15,388.10,391.29,389.07
1603,390.18,391.12,388.27,390.30,389.37
1604,390.56,390.81,386.78,386.94,387.78
1605,382.22,386.10,380.73,385.92,387.49
1606,386.80,391.34,386.68,390.07,389.03
1607,391.57,392.82,389.29,389.75,390.75
1608,392.01,394.81,391.76,393.73,392.41
1609,394.82,395.17,392.27,392.85,393.17
1610,393.44,394.14,392.40,393.63,393.53
1611,394.67,395.18,393.56,393.84,393.94
1612,395.42,395.68,394.31,394.54,394.26
1613,396.92,397.06,393.75,394.20,394.39
1614,394.85,395.66,393.84,394.82,394.39
1615,392.49,394.50,391.01,393.35,394.72
1616,395.21,397.25,393.42,396.95,395.90
1617,396.94,397.12,395.62,396.56,396.54
1618,397.43,397.52,394.81,396.65,396.54
1619,397.49,397.57,395.83,396.06,396.76
1620,397.29,398.86,395.96,397.90,397.62
1621,398.45,398.67,397.15,398.56,398.52
1622,398.67,399.55,397.42,399.45,398.88
1623,399.60,399.63,397.83,398.71,398.25
1624,398.86,399.08,394.43,396.49,396.90
1625,396.07,397.34,393.87,396.36,395.22
1626,393.06,393.75,390.80,391.01,394.15
1627,392.78,396.80,391.96,396.61,395.84
1628,396.60,399.57,395.87,398.73,397.89
1629,398.80,399.61,398.16,398.25,399.00
1630,400.40,401.03,400.15,400.60,400.39
1631,401.36,402.48,401.03,402.03,401.77
1632,402.55,403.01,401.35,402.84,402.63
1633,403.22,403.86,402.52,403.05,403.15
1634,402.59,404.07,402.56,403.39,404.03
1635,404.16,405.79,404.09,405.63,405.83
1636,406.80,409.08,405.71,408.73,407.62
1637,408.78,409.00,405.23,407.98,408.34
1638,408.67,409.71,406.64,409.42,408.29
1639,404.07,406.85,402.88,406.09,408.22
1640,407.61,410.72,405.89,410.42,409.70
1641,410.34,412.15,409.90,411.89,410.95
1642,411.10,412.61,410.23,410.49,410.92
1643,412.19,412.68,409.85,411.10,410.46
1644,409.75,410.43,407.78,409.70,408.95
1645,410.88,410.93,406.09,406.48,405.99
1646,401.63,406.55,397.65,400.48,404.01
1647,401.15,407.50,400.35,406.22,405.82
1648,407.43,409.65,406.17,409.51,408.78
1649,409.69,410.61,408.70,410.37,411.20
1650,412.31,414.93,411.62,414.59,413.58
1651,413.99,415.62,413.95,415.61,414.62
1652,414.56,414.59,410.87,413.71,414.21
1653,414.34,414.93,412.11,413.54,414.06
1654,414.48,416.34,414.47,415.26,414.20
1655,412.68,414.70,412.54,413.24,413.62
1656,414.96,415.52,412.01,412.37,413.55
1657,413.17,415.85,410.97,415.73,414.37
1658,414.44,415.70,413.45,413.68,414.88
1659,414.85,416.39,414.53,416.30,415.83
1660,416.62,417.42,416.34,416.99,416.63
1661,416.96,417.28,415.88,416.65,416.90
1662,417.10,417.89,416.42,417.17,417.38
1663,418.25,418.30,417.11,418.21,418.28
1664,418.06,419.60,417.15,419.46,419.32
1665,419.91,420.24,419.42,420.22,420.12
1666,418.91,421.35,417.35,421.21,419.96
1667,418.64,419.32,415.45,418.45,417.94
1668,417.43,419.01,413.63,413.87,415.57
1669,411.13,415.72,410.99,414.51,415.58
1670,414.86,418.14,414.37,417.81,417.93
1671,419.51,422.40,417.89,421.49,420.55
1672,422.15,422.69,421.64,422.15,421.97
1673,422.34,423.56,421.97,423.04,422.22
1674,422.76,422.99,420.45,420.54,422.32
1675,421.35,424.68,421.30,424.30,423.85
1676,424.98,426.96,424.74,426.17,425.34
1677,426.08,426.42,424.94,425.54,425.75
1678,426.48,427.00,425.53,425.76,426.08
1679,427.20,427.88,425.87,427.07,426.61
1680,425.93,427.49,425.53,426.97,426.50
1681,426.62,426.72,424.77,425.44,425.65
1682,424.91,425.64,422.99,424.93,424.49
1683,424.73,426.49,422.86,423.11,422.75
1684,425.05,425.47,419.65,419.77,420.99
1685,422.79,423.05,418.52,420.85,420.18
1686,422.30,422.50,417.68,418.57,420.11
1687,419.00,422.57,417.89,422.07,420.83
1688,421.54,422.52,418.43,421.40,420.04
1689,420.62,421.05,416.94,417.30,416.51
1690,411.13,412.72,405.44,410.34,412.50
1691,412.69,414.00,409.42,409.95,411.65
1692,412.24,416.00,410.06,413.95,414.29
1693,415.83,420.60,415.60,418.98,417.55
1694,417.33,420.39,417.12,419.67,418.61
1695,418.63,419.80,417.77,418.47,416.44
1696,415.68,416.01,409.30,410.04,412.43
1697,411.43,413.18,410.16,410.73,409.65
1698,412.21,412.92,405.37,405.71,408.23
1699,407.45,412.22,403.90,410.53,408.08
1700,409.36,410.26,403.08,405.23,407.77
1701,406.75,411.71,405.94,409.45,409.09
1702,405.83,411.36,404.19,411.15,411.48
1703,414.45,417.56,414.27,414.71,413.31
1704,415.48,415.87,413.32,413.95,413.15
1705,413.29,416.22,410.89,410.95,411.60
1706,411.88,412.29,409.15,409.94,411.03
1707,410.97,412.24,407.98,411.42,413.10
1708,415.10,418.49,414.63,418.34,417.30
1709,420.46,421.89,419.84,421.52,420.84
1710,419.73,423.11,419.06,422.77,423.26
1711,424.41,426.10,423.79,426.03,425.58
1712,426.50,428.01,426.38,427.70,427.41
1713,427.10,429.05,426.67,428.82,428.41
1714,428.39,429.84,426.42,428.38,429.11
1715,429.47,431.00,427.69,430.67,430.09
1716,432.23,433.45,430.68,431.06,430.50
1717,431.52,432.20,429.08,429.15,430.85
1718,430.59,433.37,430.58,433.29,432.49
1719,430.98,434.46,430.68,434.17,434.05
1720,435.16,435.54,433.18,434.92,435.27
1721,435.09,436.99,434.96,436.68,436.98
1722,436.11,439.75,435.67,439.34,439.17
1723,439.95,441.50,439.60,441.41,441.17
1724,443.65,444.95,441.42,442.94,442.47
1725,444.05,444.55,442.63,443.32,442.61
1726,443.69,443.93,440.44,441.86,441.27
1727,440.16,441.86,436.81,438.30,439.52
1728,439.81,439.88,438.43,438.44,439.48
1729,439.72,442.31,438.77,441.75,440.94
1730,443.05,443.21,440.77,441.90,442.18
1731,441.64,444.80,441.56,443.65,442.91
1732,443.39,443.57,441.95,442.58,443.19
1733,443.62,444.34,440.88,444.08,443.43
1734,443.97,445.22,442.92,443.29,443.13
1735,445.18,447.68,441.83,442.04,442.61
1736,441.71,443.48,439.09,442.62,442.46
1737,440.61,443.93,439.79,443.81,440.89
1738,437.09,438.57,432.77,433.91,437.75
1739,438.73,441.08,436.52,439.23,435.58
1740,436.77,438.69,430.44,430.68,431.79
1741,436.43,439.30,425.70,425.90,429.24
1742,426.12,434.00,425.72,432.42,429.98
1743,434.10,435.16,424.41,428.66,431.23
1744,431.22,435.63,428.79,433.74,435.00
1745,439.05,443.28,433.61,442.71,440.23
1746,443.11,444.33,441.34,443.88,442.52
1747,442.59,443.99,440.69,440.88,442.65
1748,443.61,445.19,441.04,445.03,442.79
1749,444.51,444.86,440.81,441.09,441.45
1750,437.80,440.31,435.12,438.06,440.79
1751,438.11,445.15,435.58,444.90,441.84
1752,446.76,447.05,439.42,440.98,440.33
1753,437.88,440.91,434.57,436.29,436.75
1754,431.17,432.05,428.00,431.65,435.44
1755,435.09,439.45,432.91,439.31,438.71
1756,439.06,443.82,438.86,443.70,443.20
1757,444.71,447.97,444.61,446.46,447.26
1758,447.85,452.83,447.80,452.78,450.83
1759,453.22,454.25,451.64,452.41,452.37
1760,452.52,454.02,451.51,452.99,452.45
1761,453.42,454.43,451.27,451.74,451.85
1762,451.25,452.40,450.33,450.60,451.67
1763,451.87,453.34,449.55,453.21,452.15
1764,454.64,455.36,451.19,453.06,450.56
1765,452.69,453.47,444.26,444.36,446.60
1766,443.89,446.67,441.56,443.94,443.90
1767,443.95,445.14,440.82,442.19,442.71
1768,438.97,441.85,433.18,441.64,443.02
1769,441.37,445.75,438.35,445.66,444.66
1770,447.40,448.93,444.89,446.86,444.65
1771,447.97,448.63,439.67,440.71,442.10
1772,437.54,441.24,436.31,440.89,438.72
1773,436.16,436.37,431.96,433.08,433.80
1774,434.63,436.04,428.31,428.58,428.50
1775,430.48,435.21,421.70,423.84,423.09
1776,422.71,425.08,415.49,415.52,418.32
1777,409.87,417.80,399.18,417.28,415.66
1778,410.85,417.17,405.24,412.19,413.20
1779,418.12,421.27,406.87,411.15,411.49
1780,415.78,418.94,407.43,409.12,412.87
1781,410.49,419.33,405.88,419.28,418.76
1782,418.61,427.19,417.25,426.84,425.29
1783,427.57,430.37,424.02,429.72,429.37
1784,432.14,434.62,429.81,433.89,429.84
1785,427.82,429.74,422.85,423.70,426.87
1786,423.46,429.56,421.07,425.69,425.29
