dayoftheyear,open,high,low,close,WLLDE
201,100.78,101.00,100.10,100.44,100.48
202,100.95,101.05,99.79,99.83,100.70
203,100.72,101.94,100.43,101.86,102.12
204,104.60,105.14,104.05,104.71,103.87
205,104.64,104.98,104.24,104.78,104.74
206,104.50,105.14,104.47,104.99,105.16
207,105.15,105.86,104.30,105.86,105.55
208,105.38,105.87,105.27,105.70,105.62
209,105.74,105.92,105.19,105.22,105.70
210,105.50,106.54,105.28,106.41,106.20
211,106.20,107.16,106.04,106.78,106.62
212,107.14,107.21,106.35,106.79,106.69
213,106.88,107.14,105.95,106.50,106.56
214,106.30,106.70,105.62,106.58,106.24
215,106.18,106.32,104.80,105.44,105.68
216,104.89,105.28,104.57,105.18,105.22
217,105.46,105.97,104.87,105.05,104.73
218,104.62,105.13,103.95,104.03,103.80
219,103.59,103.70,101.93,101.98,103.01
220,101.88,103.47,101.65,103.45,103.22
221,103.62,104.26,103.25,103.51,104.00
222,103.93,105.60,103.83,105.50,104.99
223,105.56,106.06,105.37,105.58,105.66
224,106.08,106.37,105.97,106.29,106.00
225,106.33,106.72,105.53,105.98,106.02
226,105.30,106.14,104.77,105.89,105.96
227,106.05,106.18,105.76,105.98,105.99
228,106.22,106.35,105.77,106.13,106.05
229,106.45,106.45,105.52,105.86,106.20
230,106.29,106.92,106.16,106.92,106.39
231,107.00,107.47,106.10,106.26,106.00
232,106.55,106.74,103.84,104.46,105.65
233,104.78,107.08,104.56,106.90,106.16
234,106.98,107.04,105.91,106.42,106.40
235,105.31,106.77,105.27,106.43,106.01
236,105.97,106.55,104.17,104.81,105.30
237,105.06,105.99,104.74,105.29,104.58
238,104.07,104.35,102.80,102.86,103.77
239,103.00,103.69,101.56,103.64,103.76
240,104.60,105.18,104.14,104.28,104.44
241,104.98,106.00,103.89,105.83,104.86
242,106.29,106.29,104.27,104.28,104.14
243,103.96,104.19,102.28,102.28,103.24
244,103.25,103.44,102.49,103.42,103.40
245,103.97,104.25,103.42,104.10,104.08
246,104.64,104.95,104.45,104.87,104.62
247,104.87,105.14,104.81,104.85,104.88
248,104.60,104.82,103.85,104.80,105.23
249,105.42,106.68,105.36,106.45,105.67
250,106.35,106.39,105.47,105.49,105.24
251,105.11,105.31,104.16,104.17,103.95
252,101.93,102.07,100.69,101.98,102.55
253,102.48,102.61,101.33,101.80,101.54
254,100.03,101.41,100.03,100.82,100.20
255,98.67,99.92,97.61,97.67,98.37
256,98.37,98.99,96.76,96.86,97.33
257,97.55,97.84,95.67,97.16,97.30
258,98.09,98.79,96.93,98.29,97.10
259,98.69,98.93,94.75,94.90,96.24
260,95.27,97.77,93.75,96.92,95.66
261,93.71,94.94,92.67,93.91,94.72
262,95.19,95.34,93.02,94.12,94.10
263,92.64,94.83,90.57,93.83,94.04
264,94.23,95.32,92.96,93.92,94.61
265,95.81,96.68,95.49,96.64,95.51
266,96.30,96.84,95.12,95.21,95.65
267,95.61,96.47,94.77,96.06,95.27
