Datetime,Open,High,Low,Close
,QQQ,QQQ,QQQ,QQQ
2022-11-07 00:00:00,260.755,263.101,258.616,262.561
2022-11-08 00:00:00,264.082,267.722,260.53,264.474
2022-11-09 00:00:00,262.728,263.513,258.087,258.371
2022-11-10 00:00:00,270.823,277.73,268.703,277.436
2022-11-11 00:00:00,277.249,283.215,275.905,282.548
2022-11-14 00:00:00,280.488,283.775,279.094,280.075
2022-11-15 00:00:00,286.718,287.748,280.595,283.951
2022-11-16 00:00:00,281.989,284.04,279.251,280.075
2022-11-17 00:00:00,275.601,280.939,275.444,279.457
2022-11-18 00:00:00,282.479,282.577,277.014,279.467
2022-11-21 00:00:00,278.074,279.232,275.758,276.592
2022-11-22 00:00:00,277.328,280.733,275.189,280.576
2022-11-23 00:00:00,280.595,284.02,280.419,283.392
2022-11-25 00:00:00,281.793,282.499,281.037,281.528
2022-11-28 00:00:00,279.546,281.567,276.465,277.397
2022-11-29 00:00:00,277.622,278.025,273.923,275.297
2022-11-30 00:00:00,275.562,287.954,274.708,287.847
2022-12-01 00:00:00,288.17,290.192,285.413,288.2
2022-12-02 00:00:00,283.117,287.935,282.941,287.052
2022-12-05 00:00:00,284.923,286.198,280.772,282.234
2022-12-06 00:00:00,282.077,282.214,274.993,276.386
2022-12-07 00:00:00,275.199,277.259,273.541,275.258
2022-12-08 00:00:00,276.612,279.487,274.532,278.515
2022-12-09 00:00:00,277.495,280.272,276.298,276.739
2022-12-12 00:00:00,276.916,280.272,275.876,280.213
2022-12-13 00:00:00,291.075,291.3,280.537,283.225
2022-12-14 00:00:00,282.636,285.933,277.868,281.125
2022-12-15 00:00:00,277.024,277.691,270.489,271.686
2022-12-16 00:00:00,271.009,272.549,267.486,269.096
2022-12-19 00:00:00,269.366,269.455,264.075,265.314
2022-12-20 00:00:00,264.144,266.858,262.56,265.107
2022-12-21 00:00:00,266.15,270.261,265.304,268.953
2022-12-22 00:00:00,265.934,266.061,258.144,262.373
2022-12-23 00:00:00,261.104,263.632,259.196,262.963
2022-12-27 00:00:00,262.353,262.462,258.704,259.245
2022-12-28 00:00:00,258.842,261.104,255.459,255.823
2022-12-29 00:00:00,258.636,263.003,257.937,262.058
2022-12-30 00:00:00,259.285,262.029,257.977,261.901
2023-01-03 00:00:00,264.232,265.707,257.819,260.131
2023-01-04 00:00:00,262.255,263.052,258.213,261.37
2023-01-05 00:00:00,259.698,259.865,256.964,257.278
2023-01-06 00:00:00,259.019,265.501,256.059,264.38
2023-01-09 00:00:00,266.376,270.763,265.481,266.091
2023-01-10 00:00:00,265.058,268.452,264.547,268.343
2023-01-11 00:00:00,269.415,273.094,268.629,272.986
2023-01-12 00:00:00,273.546,275.494,269.238,274.461
2023-01-13 00:00:00,271.953,276.595,271.619,276.349
2023-01-17 00:00:00,276.153,278.199,274.982,276.91
2023-01-18 00:00:00,278.454,280.008,273.104,273.31
2023-01-19 00:00:00,271.678,272.818,269.386,270.625
2023-01-20 00:00:00,272.238,278.366,271.176,278.031
2023-01-23 00:00:00,278.877,285.437,278.081,284.208
2023-01-24 00:00:00,282.585,284.788,282.064,283.628
2023-01-25 00:00:00,279.103,283.618,276.556,282.998
2023-01-26 00:00:00,286.431,288.693,283.775,288.516
2023-01-27 00:00:00,287.198,293.355,287.08,291.388
2023-01-30 00:00:00,288.113,289.539,285.123,285.497
2023-01-31 00:00:00,285.536,289.873,285.428,289.775
2023-02-01 00:00:00,289.568,298.44,287.493,295.971
2023-02-02 00:00:00,302.512,308.521,301.686,306.594
2023-02-03 00:00:00,299.925,307.253,299.532,301.145
2023-02-06 00:00:00,298.519,300.879,297.25,298.597
